Register Value,Player Name,Salary in $,Season Start,Season End,Team,Full Team Name
11303,Udonis Haslem,4000000,2016,2017,MIA,Miami Heat
11304,Victor Oladipo,6552960,2016,2017,OKC,Oklahoma City Thunder
11305,Vince Carter,4264057,2016,2017,MEM,Memphis Grizzlies
11306,Wade Baldwin,1793760,2016,2017,MEM,Memphis Grizzlies
11307,Wayne Ellington,6000000,2016,2017,MIA,Miami Heat
11308,Wayne Ellington,923670,2016,2017,SAC,Sacramento Kings
11309,Wayne Selden,83119,2016,2017,MEM,Memphis Grizzlies
11310,Wayne Selden,31969,2016,2017,NOH,New Orleans Pelicans
11311,Wesley Johnson,5628000,2016,2017,LAC,Los Angeles Clippers
11312,Wesley Matthews,17100000,2016,2017,DAL,Dallas Mavericks
11313,Will Barton,3533333,2016,2017,DEN,Denver Nuggets
11314,Willie Cauley-Stein,3551160,2016,2017,SAC,Sacramento Kings
