Register Value,Player Name,Salary in $,Season Start,Season End,Team,Full Team Name
10999,Joe Young,1052342,2016,2017,IND,Indiana Pacers
11000,Joel Anthony,663810,2016,2017,SAS,San Antonio Spurs
11001,Joel Bolomboy,600000,2016,2017,UTA,Utah Jazz
11002,Joel Embiid,4826160,2016,2017,PHI,Philadelphia 76ers
11003,Joffrey Lauvergne,1709720,2016,2017,CHI,Chicago Bulls
11004,John Henson,12517606,2016,2017,MIL,Milwaukee Bucks
11005,John Jenkins,469841,2016,2017,PHO,Phoenix Suns
11006,John Lucas III,635753,2016,2017,MIN,Minnesota Timberwolves
11007,John Wall,16957900,2016,2017,WAS,Washington Wizards
11008,Johnny O\'Bryant,276827,2016,2017,CHA,Charlotte Hornets
11009,Johnny O\'Bryant,115344,2016,2017,DEN,Denver Nuggets
11010,Jon Leuer,10991957,2016,2017,DET,Detroit Pistons
11011,Jonas Jerebko,5000000,2016,2017,BOS,Boston Celtic
11012,Jonas Valanciunas,14382022,2016,2017,TOR,Toronto Raptors 
11013,Jonathan Gibson,680937,2016,2017,DAL,Dallas Mavericks
11014,Jonathon Simmons,874636,2016,2017,SAS,San Antonio Spurs
11015,Jordan Adams,1465080,2016,2017,MEM,Memphis Grizzlies
11016,Jordan Clarkson,12500000,2016,2017,LAL,Los Angeles Lakers
11017,Jordan Crawford,234915,2016,2017,NOH,New Orleans Pelicans
11018,Jordan Farmar,510921,2016,2017,LAC,Los Angeles Clippers
11019,Jordan Farmar,82979,2016,2017,SAC,Sacramento Kings
11020,Jordan Hill,3911380,2016,2017,MIN,Minnesota Timberwolves
11021,Jordan McRae,874636,2016,2017,CLE,Cleveland Caveliers
11022,Jordan Mickey,1223653,2016,2017,BOS,Boston Celtic
11023,Jose Calderon,7708427,2016,2017,LAL,Los Angeles Lakers
11024,Jose Calderon,392478,2016,2017,ATL,Atlanta Hawks
11025,Josh Huestis,1191480,2016,2017,OKC,Oklahoma City Thunder
11026,Josh McRoberts,5782450,2016,2017,MIA,Miami Heat
11027,Josh Richardson,874636,2016,2017,MIA,Miami Heat
11028,Josh Smith,5400000,2016,2017,DET,Detroit Pistons
11029,Jrue Holiday,11286518,2016,2017,NOH,New Orleans Pelicans
11030,Juan Hernangomez,1987440,2016,2017,DEN,Denver Nuggets
11031,Julius Randle,3267120,2016,2017,LAL,Los Angeles Lakers
11032,Julyan Stone,50000,2016,2017,IND,Indiana Pacers
11033,Justin Anderson,1514160,2016,2017,PHI,Philadelphia 76ers
11034,Justin Hamilton,3000000,2016,2017,NJN,Brooklyn Nets
11035,Justin Harper,57672,2016,2017,PHI,Philadelphia 76ers
11036,Justin Holiday,1015696,2016,2017,NYK,New York Knicks
11037,Justise Winslow,2593440,2016,2017,MIA,Miami Heat
11038,Jusuf Nurkic,1921320,2016,2017,POR,Portland Trail Blazers
11039,K.J. McDaniels,3333333,2016,2017,NJN,Brooklyn Nets
11040,Kaleb Tarczewski,75000,2016,2017,OKC,Oklahoma City Thunder
11041,Karl-Anthony Towns,5960160,2016,2017,MIN,Minnesota Timberwolves
11042,Kawhi Leonard,17638063,2016,2017,SAS,San Antonio Spurs
11043,Kay Felder,543471,2016,2017,CLE,Cleveland Caveliers
11044,Keith Benson,75000,2016,2017,MIA,Miami Heat
11045,Kelly Olynyk,3094014,2016,2017,BOS,Boston Celtic
11046,Kelly Oubre,2006640,2016,2017,WAS,Washington Wizards
11047,Kemba Walker,12000000,2016,2017,CHA,Charlotte Hornets
11048,Kenneth Faried,12078652,2016,2017,DEN,Denver Nuggets
11049,Kent Bazemore,15730338,2016,2017,ATL,Atlanta Hawks
11050,Kentavious Caldwell-Pope,3678319,2016,2017,DET,Detroit Pistons
11051,Kevin Durant,26540100,2016,2017,GSW,Golden State Warriors
11052,Kevin Garnett,8000000,2016,2017,MIN,Minnesota Timberwolves
11053,Kevin Love,21165675,2016,2017,CLE,Cleveland Caveliers
11054,Kevin Martin,1360305,2016,2017,MIN,Minnesota Timberwolves
11055,Kevin Seraphin,1800000,2016,2017,IND,Indiana Pacers
11056,Kevon Looney,1182840,2016,2017,GSW,Golden State Warriors
11057,Khris Middleton,15200000,2016,2017,MIL,Milwaukee Bucks
11058,Klay Thompson,16663575,2016,2017,GSW,Golden State Warriors
11059,Kosta Koufos,8046500,2016,2017,SAC,Sacramento Kings
11060,Kris Dunn,3872520,2016,2017,MIN,Minnesota Timberwolves
11061,Kris Humphries,4000000,2016,2017,ATL,Atlanta Hawks
11062,Kristaps Porzingis,4317720,2016,2017,NYK,New York Knicks
11063,Kyle Anderson,1192080,2016,2017,SAS,San Antonio Spurs
11064,Kyle Collinsworth,70000,2016,2017,DAL,Dallas Mavericks
11065,Kyle Korver,5239437,2016,2017,CLE,Cleveland Caveliers
11066,Kyle Lowry,12000000,2016,2017,TOR,Toronto Raptors 
11067,Kyle O\'Quinn,3900000,2016,2017,NYK,New York Knicks
11068,Kyle Singler,4837500,2016,2017,OKC,Oklahoma City Thunder
11069,Kyrie Irving,17638063,2016,2017,CLE,Cleveland Caveliers
11070,Lamar Patterson,128623,2016,2017,ATL,Atlanta Hawks
11071,Lamar Patterson,100000,2016,2017,SAC,Sacramento Kings
11072,LaMarcus Aldridge,20575005,2016,2017,SAS,San Antonio Spurs
11073,Lance Stephenson,4000000,2016,2017,IND,Indiana Pacers
11074,Lance Stephenson,1227286,2016,2017,NOH,New Orleans Pelicans
11075,Lance Stephenson,144386,2016,2017,MIN,Minnesota Timberwolves
11076,Lance Thomas,6191000,2016,2017,NYK,New York Knicks
11077,Langston Galloway,5200000,2016,2017,SAC,Sacramento Kings
11078,Larry Nance Jr.,1207680,2016,2017,LAL,Los Angeles Lakers
11079,Larry Sanders,1865547,2016,2017,MIL,Milwaukee Bucks
11080,Larry Sanders,207722,2016,2017,CLE,Cleveland Caveliers
11081,Lavoy Allen,4000000,2016,2017,IND,Indiana Pacers
11082,Leandro Barbosa,4000000,2016,2017,PHO,Phoenix Suns
11083,LeBron James,30963450,2016,2017,CLE,Cleveland Caveliers
11084,Livio Jean-Charles,1188840,2016,2017,SAS,San Antonio Spurs
11085,Lou Amundson,1551659,2016,2017,NYK,New York Knicks
11086,Lou Williams,7000000,2016,2017,HOU,Houston Rockets
11087,Luc Mbah a Moute,2203000,2016,2017,LAC,Los Angeles Clippers
11088,Lucas Nogueira,1921320,2016,2017,TOR,Toronto Raptors 
11089,Luis Scola,5000000,2016,2017,NJN,Brooklyn Nets
11090,Luke Babbitt,1227000,2016,2017,MIA,Miami Heat
11091,Luol Deng,18000000,2016,2017,LAL,Los Angeles Lakers
11092,Malachi Richardson,1439880,2016,2017,SAC,Sacramento Kings
11093,Malcolm Brogdon,925000,2016,2017,MIL,Milwaukee Bucks
11094,Malcolm Delaney,2500000,2016,2017,ATL,Atlanta Hawks
11095,Malik Beasley,1627320,2016,2017,DEN,Denver Nuggets
11096,Manny Harris,119494,2016,2017,DAL,Dallas Mavericks
11097,Manu Ginobili,14000000,2016,2017,SAS,San Antonio Spurs
11098,Marc Gasol,21165675,2016,2017,MEM,Memphis Grizzlies
11099,Marcelo Huertas,1500000,2016,2017,HOU,Houston Rockets
11100,Marcin Gortat,12000000,2016,2017,WAS,Washington Wizards
11101,Marco Belinelli,6333333,2016,2017,CHA,Charlotte Hornets
11102,Marcus Georges-Hunt,31969,2016,2017,MIA,Miami Heat
11103,Marcus Georges-Hunt,31969,2016,2017,ORL,Orlando Magic
11104,Marcus Georges-Hunt,25000,2016,2017,BOS,Boston Celtic
11105,Marcus Morris,4625000,2016,2017,DET,Detroit Pistons
11106,Marcus Paige,125000,2016,2017,UTA,Utah Jazz
11107,Marcus Smart,3578880,2016,2017,BOS,Boston Celtic
11108,Marcus Thornton,1315448,2016,2017,NJN,Brooklyn Nets
11109,Mario Hezonja,3909840,2016,2017,ORL,Orlando Magic
11110,Markieff Morris,7400000,2016,2017,WAS,Washington Wizards
11111,Marquese Chriss,2941440,2016,2017,PHO,Phoenix Suns
